LSOA,Predicted IMD Score
E01027486,18.359478
E01027487,16.115011
E01027512,29.614677
E01027483,12.235636
E01027496,10.496114
E01027508,9.553302
E01027513,3.376354
E01027476,16.44226
E01027489,5.820404
E01027490,11.698151
E01027491,4.9720325
E01027492,2.2203062
E01027493,38.02563
E01027494,4.7407
E01027497,8.189131
E01027498,27.397537
E01027499,10.211012
E01027500,19.772228
E01027501,9.98739
E01027502,6.258996
E01027481,8.237374
E01027482,4.797453
E01027504,5.245531
E01027506,10.187383
E01027507,3.8567235
E01027509,3.5232522
E01027477,10.878112
E01027478,10.846093
E01027488,13.143321
E01027495,13.028146
E01027505,12.905271
E01027510,8.939426
E01027541,31.288704
E01027542,54.128468
E01027543,46.314278
E01027544,28.134594
E01027528,43.363754
E01027529,21.655
E01027539,54.066597
E01027545,53.555695
E01027546,43.080456
E01027533,63.439747
E01027540,51.69473
E01027549,5.433607
E01033716,38.982788
E01027524,23.556194
E01027525,29.618368
E01027526,9.23815
E01027527,44.954906
E01027536,19.507866
E01027532,16.722105
E01027537,36.862198
E01027538,8.413819
E01027530,32.96822
E01027531,23.333254
E01027534,37.402203
E01027535,7.0244923
E01027553,24.477873
E01027554,9.927385
E01027515,23.108147
E01027517,18.89981
E01027518,45.280117
E01027519,40.28488
E01027550,25.246696
E01027551,44.10138
E01027552,30.584862
E01027514,15.206749
E01027516,17.036833
E01027520,5.740757
E01027521,4.5967026
E01027522,35.585243
E01027523,19.85189
E01012100,67.86909
E01012101,45.597942
E01012102,35.994946
E01012184,28.035686
E01012105,22.46043
E01012142,27.679258
E01012143,55.084316
E01012144,19.912062
E01012106,27.897007
E01012107,47.781845
E01032560,18.123547
E01032561,48.90675
E01012176,14.803279
E01012177,8.269873
E01012178,11.490631
E01012179,8.188572
E01012180,3.7775362
E01012185,18.221521
E01012186,16.95512
E01012127,71.60031
E01012128,60.74753
E01012129,25.498352
E01012130,17.626825
E01012131,63.451504
E01012138,6.0039883
E01012139,5.7371187
E01012140,17.964926
E01012141,11.521202
E01012154,8.445593
E01012155,26.37539
E01012156,9.047512
E01012157,17.709833
E01012158,5.8028574
E01012159,51.892834
E01012160,13.3132305
E01012161,19.026712
E01012113,59.703114
E01012114,65.59613
E01012175,63.19336
E01033471,70.48911
E01012095,10.533118
E01012097,21.821861
E01012098,19.475216
E01012099,45.925835
E01012108,36.734554
E01012109,26.983282
E01012110,24.454866
E01012111,40.95412
E01012171,38.48846
E01012172,20.93124
